=== Ver3 GUI Log Started at 2025-10-09 17:30:13 ===
[2025-10-09 17:40:49] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:40:54] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:40:59] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:41:05] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:41:10] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:41:15] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:41:20] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:41:26] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:41:31] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:41:37] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:41:42] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:41:47] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:41:52] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:41:58] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:42:03] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:42:08] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:42:13] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:42:19] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:42:24] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:42:29] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:42:35] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:42:40] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:42:45] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:42:50] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:42:56] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:43:01] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:43:06] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:43:12] [INFO] Bot stopped by user
[2025-10-09 17:43:12] [INFO] Stopping bot...
[2025-10-09 17:43:28] [INFO] API client initialized successfully
[2025-10-09 17:43:30] [INFO] Dry-run mode disabled
[2025-10-09 17:43:34] [INFO] Bot started successfully
[2025-10-09 17:43:34] [INFO] GUI Trading Bot V3 initialized
[2025-10-09 17:43:34] [INFO] Bot main loop started
[2025-10-09 17:43:34] [INFO] === Analysis Cycle #1 - 2025-10-09 17:43:34 ===
[2025-10-09 17:43:34] [INFO] Analyzing all coins...
[2025-10-09 17:43:34] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:43:39] [INFO]   [XRP] BULLISH | Score: 1/4 | Action: HOLD
[2025-10-09 17:43:39] [INFO]   [SOL] BULLISH | Score: 0/4 | Action: HOLD
[2025-10-09 17:43:39] [INFO]   [ETH] BULLISH | Score: 2/4 | Action: BUY
[2025-10-09 17:43:39] [INFO] Making portfolio decisions...
[2025-10-09 17:43:39] [INFO] No trading actions required (HOLD)
[2025-10-09 17:43:39] [INFO] ------------------------------------------------------------
[2025-10-09 17:43:39] [INFO] Portfolio Summary
[2025-10-09 17:43:39] [INFO]   Positions: 1/2
[2025-10-09 17:43:39] [INFO]   Total P&L: -14 KRW
[2025-10-09 17:43:39] [INFO] Per-Coin Status:
[2025-10-09 17:43:39] [INFO]   [ETH] BULLISH  | Score: 2/4 | Action: BUY  | Position: 6,356,000 KRW | P&L: +0
[2025-10-09 17:43:39] [INFO]   [XRP] BULLISH  | Score: 1/4 | Action: HOLD
[2025-10-09 17:43:39] [INFO]   [SOL] BULLISH  | Score: 0/4 | Action: HOLD
[2025-10-09 17:43:39] [INFO] ------------------------------------------------------------
[2025-10-09 17:43:39] [INFO] Cycle completed in 0.21s. Sleeping 900s until next cycle...
[2025-10-09 17:43:39] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:43:45] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:43:50] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:43:55] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:44:00] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:44:06] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:44:11] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:44:16] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:44:21] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:44:27] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:44:32] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:44:37] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:44:43] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:44:48] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:44:53] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:44:58] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:45:04] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:45:09] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:45:14] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:45:19] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:45:25] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:45:30] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:45:35] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:45:41] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:45:46] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:45:51] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:45:56] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:46:02] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:46:07] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:46:12] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:46:18] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:46:23] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:46:28] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:46:33] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:46:39] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:46:44] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:46:49] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:46:55] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:47:00] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:47:05] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:47:10] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:47:16] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:47:21] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:47:26] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:47:31] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:47:37] [WARNING] XRP: No position data found - P&L will show 0%
