momentum_weight,short_mom_weight,volatility_weight,volume_weight,target_count,total_return,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,profit_factor,calmar_ratio,volatility
0.2,0.3,0.4,0.1,15,5.938139111596286,1.2143729544776538,2.6147393761701654,-4.19334781869879,40.54054054054054,1.8862207533923134,3.0123784189919434,7.579822535443364
0.2,0.1,0.4,0.0,15,5.1565207600657414,1.2090787802708338,2.371348064954947,-3.2463702627948288,50.0,1.6105839235228026,3.365299490172282,6.273098056221187
0.2,0.2,0.5,0.0,15,5.029308254166653,1.187879907387691,2.461588340566204,-3.3179708424576515,47.05882352941176,1.599906898406349,3.2093303785162117,6.168914900734365
0.2,0.3,0.5,0.0,20,5.02900418611667,1.1835807217649084,2.5988500447069782,-3.1363630010352916,37.77777777777778,1.5508395749399315,3.394952700773015,6.191832828641713
0.4,0.3,0.4,0.2,10,6.833051985590299,1.1796109390631226,2.5254261900785884,-5.450537813916235,50.0,1.966390310594487,2.679148864918239,9.407622929421366
0.4,0.2,0.2,0.2,10,6.877429917876965,1.170719798162101,2.425848426826875,-4.541702058468989,51.724137931034484,1.9451324398434748,3.236890728073427,9.565562157175608
0.3,0.3,0.4,0.1,20,5.450398193363637,1.1598761380631792,2.4856768296004765,-4.145493899314445,38.46153846153847,1.7738377264876681,2.7898290549351725,7.082728699023725
0.4,0.4,0.5,0.2,10,6.685327095159166,1.1570293526143753,2.505498327903943,-5.540222327075128,48.0,1.9887893854667544,2.576838211272635,9.33843732788782
0.5,0.1,0.2,0.2,15,5.805784608070486,1.1563837237355323,2.424097977868056,-4.244446027884107,45.0,1.7887609460358784,2.90779122818002,7.747943120300814
0.2,0.3,0.2,0.2,20,5.440578790597073,1.1420666310218588,2.3254927712917355,-3.9036695916096154,51.02040816326531,2.050492859471288,2.9571655259368415,7.18273501920058
0.2,0.4,0.4,0.1,15,5.702001491241804,1.1298216335322215,2.4002741784022232,-4.2729628606714805,40.54054054054054,1.8262018832979086,2.8352327807867543,7.7505094828293295
0.4,0.4,0.4,0.2,10,6.63373107131191,1.119332867786298,2.3789046974280335,-5.405742637045474,48.0,1.9560637927684517,2.6198651521214016,9.58445868649259
0.5,0.1,0.2,0.2,10,6.6695415559720805,1.1145473905253664,2.217893849446234,-4.27627548814582,44.827586206896555,1.8921941007897674,3.330325912419967,9.698433551340141
0.5,0.3,0.2,0.2,20,5.542387953815275,1.1098771725021408,2.267641616368444,-3.9564478739723685,45.28301886792453,1.918063620177802,2.9738819088872996,7.598331288583418
0.4,0.4,0.5,0.2,20,5.151056545993127,1.1092626632402578,2.319751419927629,-4.142833137927626,42.0,1.7945370418786826,2.6342172186389767,6.862683637249502
0.2,0.3,0.4,0.2,20,5.36617241526649,1.1089913551224064,2.397566291171862,-4.084837948886577,44.89795918367347,1.881224870417122,2.7862891622894392,7.27084528434367
0.3,0.2,0.5,0.2,20,5.088610924810633,1.1076902075318957,2.3876341661021305,-4.067604496263222,42.857142857142854,1.8213399067920657,2.6495537463703016,6.7548159371035785
0.3,0.3,0.4,0.2,20,5.093394443814581,1.106013698615419,2.3415541891892784,-4.127684850998725,44.89795918367347,1.8373402120097457,2.613507492276286,6.774920171231501
0.3,0.3,0.3,0.2,20,5.199908479282955,1.1031001043678867,2.3224374308876476,-4.079553443996797,45.83333333333333,1.9339613706578334,2.7011311308354626,6.9963042427046815
0.3,0.1,0.1,0.2,15,5.811726682249274,1.102449643183911,2.235238338850057,-3.8955409954375964,47.368421052631575,1.9387719213804389,3.171568138882594,8.167802281592735
0.2,0.2,0.2,0.2,20,5.198080821822848,1.0979716260639458,2.3095747806264626,-3.8824515240730606,48.97959183673469,1.9925144001437773,2.837236057673165,7.027729434319036
0.4,0.4,0.1,0.2,20,5.235477465557636,1.0928558758148639,2.252170130012774,-3.9532787160508454,46.0,1.8477757345671546,2.806993765233861,7.1348986046606235
0.6,0.3,0.5,0.1,20,5.15079153852438,1.092480272028998,2.26780957581572,-4.181498839812992,46.2962962962963,1.6783035886235498,2.6097211488331653,6.974769720703401
0.2,0.1,0.3,0.2,20,5.200890014263604,1.0921967170873605,2.438802449082087,-4.037790107068584,45.83333333333333,1.9162048514089218,2.729598261323549,7.072530258189072
0.2,0.1,0.5,0.2,20,4.752358317023497,1.0902366104083119,2.440296207108301,-3.8828484401295715,45.65217391304348,1.8480145317974985,2.587698410995379,6.223941743723317
